-0.229,0.71
1.871,0.7195
5.067,0.8239
8.653,0.9379
12.848,1.0613
19.217,1.2251
23.402,1.3723
29.009,1.6667
36.241,2.0515
42.514,2.4243
50.462,2.9706
55.295,3.3292
60.62,3.7615
65.736,4.1724
70.742,4.6332
75.421,5.0417
78.62,5.3315
81.526,5.5904
82.965,5.702
91.207,5.6994
97.427,5.7087
104.007,5.7941
112.217,5.8628
120.236,5.9407
131.336,6.0121
141.814,6.0759
152.241,6.0983
163.863,6.0942
174.374,6.0864
184.695,6.0371
195.022,5.9727
204.442,5.9158
213.522,5.8402
222.123,5.7494
228.545,5.704
236.416,5.6849
240.506,5.7187
244.003,5.8318
247.64,5.9448
249.966,6.0315
253.019,6.0503
254.836,5.8805
256.966,5.6353
259.974,5.2958
262.714,4.9337
265.773,4.6356
269.001,4.4243
272.869,4.3337
276.221,4.3072
283.472,4.2768
289.767,4.205
297.247,4.1294
